Task ID,Task,Status,Phase,Workstream,Priority,Story Points,Estimate (h),Team,Sprint,Start Date,Due Date,Dependencies,Risk,Business Impact,Components / Files,Labels,Acceptance Criteria,Description
PB-001,Create SiteHeader (marketing) component,Not started,Phase 1 - Foundation,Navigation,P0,5,12,Frontend,Sprint 1,2026-06-16,2026-06-20,PB-010,Medium,High,components/layout/SiteHeader.tsx,"navigation;component;p0","Sticky header renders on all marketing routes; logo links home; dropdowns keyboard-accessible; theme + Sign in/Get started visible; passes axe a11y.","Sticky top header for public pages: logo, primary nav dropdowns (Product/Solutions/Industries/Resources/Pricing), theme & accessibility menu, Sign in + Get started CTAs."
PB-002,Create SiteFooter component,Not started,Phase 1 - Foundation,Navigation,P0,3,8,Frontend,Sprint 1,2026-06-16,2026-06-19,PB-010,Low,High,components/layout/SiteFooter.tsx,"navigation;component;p0","Footer present on every page; columns populated from nav model; legal + social links valid; responsive at 360px.","Global footer (Product, Solutions, Industries, Resources, Company, Legal) + newsletter CTA, social, locale, copyright. Replaces hardcoded home footer."
PB-003,Create (marketing) route group layout,Not started,Phase 1 - Foundation,Navigation,P0,3,6,Frontend,Sprint 1,2026-06-18,2026-06-22,PB-001;PB-002,Medium,High,app/(marketing)/layout.tsx,"navigation;architecture;p0","SiteHeader+SiteFooter wrap all marketing routes; URLs unchanged; build passes.","Add app/(marketing)/layout.tsx wrapping SiteHeader + SiteFooter via route group (no URL changes)."
PB-004,Create (app) route group layout,Not started,Phase 1 - Foundation,Navigation,P1,2,4,Frontend,Sprint 1,2026-06-18,2026-06-22,,Low,Medium,app/(app)/layout.tsx,"navigation;architecture","AppShell wraps all product routes via single group layout; per-section layouts removed.","Add app/(app)/layout.tsx wrapping AppShell for product routes; consolidate per-section AppShell layouts."
PB-005,Migrate marketing/content/legal routes into (marketing) group,Not started,Phase 1 - Foundation,Navigation,P0,5,10,Frontend,Sprint 1,2026-06-22,2026-06-26,PB-003,High,Critical,"app/(marketing)/**","navigation;migration;p0","All ~17 previously chrome-less pages now render header+footer; no broken imports; build + typecheck pass.","Move home, solutions/*, industries/*, about, contact, faq, knowledge, studio, pricing, legal under (marketing). Fixes the dead-end pages."
PB-006,Migrate product routes into (app) group,Not started,Phase 1 - Foundation,Navigation,P1,3,8,Frontend,Sprint 1,2026-06-22,2026-06-26,PB-004,Medium,High,"app/(app)/**","navigation;migration","bots, workspace, marketplace, control-center, scenarios, workflows, categories share AppShell; routes resolve unchanged.","Move product routes under (app) with shared AppShell."
PB-007,Refactor home onto marketing shell,Not started,Phase 1 - Foundation,Navigation,P0,3,6,Frontend,Sprint 1,2026-06-24,2026-06-27,PB-003,Medium,High,app/page.tsx;components/sections/*,"navigation;refactor;p0","Home uses SiteHeader/SiteFooter; bespoke Header removed; section anchors become scrollspy sub-nav.","Remove bespoke home Header; reuse SiteHeader. Convert 5 section anchors into a scrollspy sub-nav."
PB-008,Align AppShell topbar with SiteHeader,Not started,Phase 1 - Foundation,Navigation,P2,2,4,Design,Sprint 2,2026-06-30,2026-07-02,PB-001,Low,Medium,components/layout/AppShell.tsx,"navigation;design","Topbar logo/theme/CTA styling matches SiteHeader; visual QA approved.","Unify styling between marketing header and app topbar for visual consistency."
PB-009,Build mobile nav drawer,Not started,Phase 1 - Foundation,Navigation,P1,3,8,Frontend,Sprint 2,2026-06-30,2026-07-03,PB-010,Medium,High,components/layout/FullscreenMenu.tsx,"navigation;mobile","Drawer opens/closes with focus trap; all nav groups reachable; works at 360-768px; ESC closes.","Slimmed responsive drawer reusing FullscreenMenu content for the marketing shell on small screens."
PB-010,Create typed navigation source of truth,Not started,Phase 1 - Foundation,Information Architecture,P0,3,6,Frontend,Sprint 1,2026-06-16,2026-06-18,,Medium,High,lib/content/navigation.ts,"ia;architecture;p0","Single typed nav model exported; header, footer, mobile menu, sitemap all consume it; no duplicated link lists.","New lib/content/navigation.ts consumed by header, footer, mobile menu, sitemap. Replaces sprawling 8-group/46-link site.ts."
PB-011,Merge Shop into Marketplace + redirect,Not started,Phase 1 - Foundation,Information Architecture,P1,2,4,Frontend,Sprint 2,2026-06-30,2026-07-01,PB-010;PB-014,Low,Medium,app/marketplace;next.config.mjs,"ia;redirect","/shop 301-redirects to /marketplace; nav no longer lists Shop; no orphaned links.","Collapse /shop and /marketplace into one catalog with redirect."
PB-012,Demote Categories & Scenarios to facets,Not started,Phase 1 - Foundation,Information Architecture,P1,3,8,Frontend,Sprint 2,2026-07-02,2026-07-07,PB-010,Medium,Medium,app/categories;app/scenarios,"ia;refactor","Categories/Scenarios reachable as filters within bots; removed from top-level nav; deep links still resolve.","Treat categories and scenarios as filtered views of bots rather than top-level destinations."
PB-013,Define top-level nav model,Not started,Phase 1 - Foundation,Information Architecture,P0,2,4,Product,Sprint 1,2026-06-16,2026-06-18,PB-010,Medium,High,lib/content/navigation.ts,"ia;p0","Top level = Product/Solutions/Industries/Resources/Pricing/Company; Legal in footer; redundant entry points removed.","Establish the canonical top-level taxonomy and remove overlapping entry points."
PB-014,Add redirects in next.config.mjs,Not started,Phase 1 - Foundation,Information Architecture,P1,1,2,Frontend,Sprint 2,2026-06-30,2026-06-30,PB-011,Low,Medium,next.config.mjs,"ia;redirect","All retired/duplicate routes 301 to canonical targets; verified with build output.","Configure redirects for retired/duplicate routes."
PB-015,Add branded 404 (not-found.tsx),Not started,Phase 1 - Foundation,System Pages,P0,2,4,Frontend,Sprint 1,2026-06-22,2026-06-24,PB-001;PB-002,Medium,High,app/not-found.tsx,"system;seo;p0","Unknown route shows branded 404 with header/footer, search, and recovery links; no unstyled default.","app/not-found.tsx with brand styling, search, and navigation recovery. Currently falls to unstyled Next default."
PB-016,Add error & global-error boundaries,Not started,Phase 1 - Foundation,System Pages,P1,2,4,Frontend,Sprint 2,2026-06-30,2026-07-01,,Medium,High,app/error.tsx;app/global-error.tsx,"system;resilience","Thrown render error shows branded fallback with retry; logged; no white screen.","Branded error and global-error boundaries with retry."
PB-017,Add loading states & skeletons,Not started,Phase 1 - Foundation,System Pages,P1,3,8,Frontend,Sprint 2,2026-07-02,2026-07-07,,Low,Medium,app/loading.tsx;app/(app)/**/loading.tsx,"system;ux","Route transitions show skeletons; no layout shift; app routes covered.","app/loading.tsx + per-section skeletons for app routes."
PB-018,Add sitemap.ts,Not started,Phase 1 - Foundation,SEO,P1,2,4,Frontend,Sprint 2,2026-07-07,2026-07-08,PB-010,Low,Medium,app/sitemap.ts,"seo","Sitemap lists static + dynamic routes (bots, knowledge, workflows, scenarios, industries); valid XML.","Generate sitemap from nav model + dynamic routes."
PB-019,Add robots.ts,Not started,Phase 1 - Foundation,SEO,P1,1,1,Frontend,Sprint 2,2026-07-07,2026-07-07,PB-018,Low,Medium,app/robots.ts,"seo","robots.txt served with sitemap reference and crawl rules.","robots.txt with sitemap reference and crawl rules."
PB-020,Add default Open Graph image,Not started,Phase 1 - Foundation,SEO,P2,2,4,Design,Sprint 3,2026-07-14,2026-07-15,,Low,Medium,app/opengraph-image.tsx,"seo;design","Shared OG card renders for pages without a custom image; passes social debuggers.","Default Open Graph card for social sharing."
PB-021,Add breadcrumbs to marketing pages,Not started,Phase 1 - Foundation,Navigation,P2,2,4,Frontend,Sprint 2,2026-07-08,2026-07-09,PB-003,Low,Medium,components/layout/RuntimeBreadcrumbs.tsx,"navigation;ux","Marketing pages show breadcrumbs reflecting hierarchy; home excluded.","Add breadcrumbs to marketing pages (currently app-only)."
PB-022,Fix Studio page to demonstrate,Not started,Phase 1 - Foundation,Content,P2,2,4,Frontend,Sprint 3,2026-07-14,2026-07-15,,Low,Medium,app/studio/page.tsx;components/ai/AiDemoPanel.tsx,"content;ux","Studio embeds working AiDemoPanel; misleading LIVE badge removed or made accurate.","Embed real AiDemoPanel on /studio; remove misleading LIVE DEMO badge that links away."
PB-023,Add login route placeholder,Not started,Phase 1 - Foundation,SaaS Scaffolding,P1,2,4,Frontend,Sprint 2,2026-07-02,2026-07-03,PB-001,Low,High,app/(auth)/login/page.tsx,"saas;auth","/(auth)/login renders branded UI; Sign in CTA routes to it; no backend wired yet.","UI-only login placeholder wired to Sign in CTA."
PB-024,Add signup route placeholder,Not started,Phase 1 - Foundation,SaaS Scaffolding,P1,2,4,Frontend,Sprint 2,2026-07-02,2026-07-03,PB-001,Low,High,app/(auth)/signup/page.tsx,"saas;auth","/(auth)/signup renders branded UI; Get started CTA routes to it; no backend wired yet.","UI-only signup placeholder wired to Get started CTA."
PB-025,Add pricing page,Not started,Phase 1 - Foundation,SaaS Scaffolding,P1,3,8,Product,Sprint 2,2026-07-07,2026-07-10,PB-010,Medium,High,app/pricing/page.tsx,"saas;content","Pricing page with tier comparison + contact CTA; linked from nav; responsive.","Pricing page with placeholder tier structure + contact CTA. Referenced by nav."
PB-026,Add account stub,Not started,Phase 1 - Foundation,SaaS Scaffolding,P2,1,2,Frontend,Sprint 3,2026-07-14,2026-07-14,PB-023,Low,Medium,app/account/page.tsx,"saas;auth","/account renders protected-route placeholder; ready for future auth gate.","Protected-route placeholder for future authed product."
PB-027,Add z-index token scale,Not started,Phase 1 - Foundation,Design System,P1,2,4,Design,Sprint 1,2026-06-18,2026-06-20,,Medium,Medium,app/globals.css,"design-system;tokens","z-index tokens defined and applied to header/menu/overlays/cursor; no hardcoded 9999 values remain in those layers.","Introduce z-index tokens; fix hardcoded stacking values and collisions."
PB-028,Delete dead PageShell.tsx,Not started,Phase 1 - Foundation,Design System,P3,1,1,Frontend,Sprint 3,2026-07-14,2026-07-14,,Low,Low,components/layout/PageShell.tsx,"cleanup","Unused component removed; no imports break; build passes.","Remove unused components/layout/PageShell.tsx."
PB-029,Extract ContentPage + SectionHeader primitives,Not started,Phase 1 - Foundation,Design System,P2,3,8,Frontend,Sprint 3,2026-07-15,2026-07-18,,Low,Medium,components/layout/ContentPage.tsx,"design-system;refactor","Repeated inline styles on detail/marketing pages replaced by shared primitives; visual parity maintained.","Replace 40-53 inline style blocks per page with shared layout primitives."
PB-030,"Verify: typecheck, build, route walkthrough",Not started,Phase 1 - Foundation,QA,P0,2,4,QA,Sprint 3,2026-07-21,2026-07-25,PB-005;PB-006;PB-007;PB-015,Medium,High,,"qa;release","pnpm typecheck + build pass; every route has header/footer; no broken links/redirects; a11y smoke pass.","Run typecheck + build; walk key routes to confirm chrome present everywhere and no broken links."
PB-031,EPIC: Auth + backend persistence,Backlog,Phase 2 - Product Depth,SaaS Backend,P1,21,120,Fullstack,Backlog,2026-07-28,2026-08-22,PB-030,High,Critical,,"epic;saas;backend","Real auth (provider chosen); Workspace persists server-side with export/import + versioning; data-loss risk eliminated.","Authentication + Workspace backend persistence with export/import and versioning."
PB-032,EPIC: Marketplace commerce,Backlog,Phase 2 - Product Depth,SaaS Backend,P1,13,80,Fullstack,Backlog,2026-07-28,2026-08-15,PB-030,Medium,High,,"epic;saas;commerce","Pagination, sorting, pricing tiers, and a working purchase/cart flow implemented and tested.","Pagination, sorting, pricing tiers, and functional purchase/cart flow."
PB-033,EPIC: Unified global search,Backlog,Phase 2 - Product Depth,Feature,P1,13,64,Fullstack,Backlog,2026-08-01,2026-08-22,PB-030,Medium,High,,"epic;search","Single search across bots, workflows, scenarios, knowledge replaces fragmented per-area search; relevant results + keyboard nav.","Unified search across all entities; retire per-area search."
PB-034,EPIC: Real Control Center telemetry,Backlog,Phase 2 - Product Depth,Feature,P2,13,64,Fullstack,Backlog,2026-08-18,2026-09-12,PB-031,Medium,Medium,,"epic;telemetry","Synthetic metrics replaced with real usage data; dashboards reflect actual runs/failures.","Replace synthetic sine-wave metrics with real usage telemetry."
PB-035,EPIC: Complete accessibility modes,Backlog,Phase 3 - Hardening,Design System,P2,8,40,Design,Backlog,2026-09-01,2026-09-19,PB-030,Medium,High,,"epic;a11y","All 14 accessibility modes implemented; font scaling works; contrast-safe focus ring; WCAG AA verified.","Implement all 14 accessibility modes, font scaling, contrast-safe focus ring (currently 5 of 14)."
PB-036,EPIC: Tokenize motion layer,Backlog,Phase 3 - Hardening,Design System,P3,5,24,Frontend,Backlog,2026-09-15,2026-09-26,PB-030,Low,Low,,"epic;design-system;motion","Cursor/shader/scroll-reveal timings driven by motion tokens; no hardcoded durations; reduced-motion honored.","Move hardcoded cursor/shader/scroll-reveal timings into motion tokens."
PB-037,EPIC: Content hub (blog + case studies),Backlog,Phase 3 - Hardening,Content,P2,13,80,Content,Backlog,2026-09-01,2026-09-30,PB-030,Low,High,,"epic;content;seo","Blog + case-studies hub live with CMS-ready structure; per-route OG images; indexed in sitemap.","Blog and case-studies hub for SEO/credibility; full per-route OG image set."
